balls_bowled_career,runs_weight_curve,wkts_weight_curve
3562,0.928735701,0.92245131
3563,0.928788527,0.922506955
3564,0.928841314,0.922562561
3565,0.928894061,0.922618126
3566,0.928946769,0.922673652
3567,0.928999438,0.922729138
3568,0.929052068,0.922784584
3569,0.929104659,0.922839991
3570,0.929157212,0.922895357
3571,0.929209725,0.922950684
3572,0.929262199,0.923005971
3573,0.929314634,0.923061219
3574,0.929367031,0.923116426
3575,0.929419389,0.923171595
3576,0.929471707,0.923226723
3577,0.929523987,0.923281812
3578,0.929576229,0.923336862
3579,0.929628431,0.923391872
3580,0.929680595,0.923446843
3581,0.92973272,0.923501774
3582,0.929784807,0.923556665
3583,0.929836855,0.923611518
3584,0.929888864,0.923666331
3585,0.929940835,0.923721104
3586,0.929992767,0.923775839
3587,0.930044661,0.923830534
3588,0.930096517,0.923885189
3589,0.930148333,0.923939806
3590,0.930200112,0.923994383
3591,0.930251852,0.924048922
3592,0.930303554,0.924103421
3593,0.930355217,0.924157881
3594,0.930406842,0.924212302
3595,0.930458429,0.924266683
3596,0.930509978,0.924321026
3597,0.930561488,0.92437533
3598,0.930612961,0.924429595
3599,0.930664395,0.924483821
3600,0.930715791,0.924538008
3601,0.930767148,0.924592156
3602,0.930818468,0.924646265
3603,0.93086975,0.924700336
3604,0.930920994,0.924754368
3605,0.930972199,0.924808361
3606,0.931023367,0.924862315
3607,0.931074497,0.92491623
3608,0.931125589,0.924970107
3609,0.931176643,0.925023945
3610,0.931227659,0.925077744
3611,0.931278638,0.925131505
3612,0.931329578,0.925185228
3613,0.931380481,0.925238911
3614,0.931431347,0.925292556
3615,0.931482174,0.925346163
3616,0.931532964,0.925399731
3617,0.931583716,0.925453261
3618,0.93163443,0.925506753
3619,0.931685107,0.925560206
3620,0.931735747,0.92561362
3621,0.931786348,0.925666997
3622,0.931836913,0.925720335
3623,0.931887439,0.925773635
3624,0.931937929,0.925826896
3625,0.931988381,0.925880119
3626,0.932038795,0.925933304
3627,0.932089172,0.925986451
3628,0.932139512,0.92603956
3629,0.932189815,0.926092631
3630,0.93224008,0.926145664
3631,0.932290308,0.926198658
3632,0.932340499,0.926251615
3633,0.932390652,0.926304533
3634,0.932440769,0.926357414
3635,0.932490848,0.926410256
3636,0.93254089,0.926463061
3637,0.932590895,0.926515828
3638,0.932640863,0.926568557
3639,0.932690794,0.926621248
3640,0.932740687,0.926673901
3641,0.932790544,0.926726517
3642,0.932840364,0.926779095
3643,0.932890147,0.926831635
3644,0.932939893,0.926884137
3645,0.932989603,0.926936602
3646,0.933039275,0.926989029
3647,0.93308891,0.927041418
3648,0.933138509,0.92709377
3649,0.933188071,0.927146084
3650,0.933237596,0.927198361
3651,0.933287085,0.9272506
3652,0.933336537,0.927302802
3653,0.933385952,0.927354966
3654,0.933435331,0.927407093
3655,0.933484673,0.927459182
3656,0.933533978,0.927511234
3657,0.933583247,0.927563249
3658,0.933632479,0.927615226
3659,0.933681675,0.927667166
3660,0.933730834,0.927719069
3661,0.933779957,0.927770935
3662,0.933829044,0.927822763
3663,0.933878094,0.927874554
3664,0.933927108,0.927926308
3665,0.933976085,0.927978025
3666,0.934025026,0.928029705
3667,0.934073931,0.928081348
3668,0.9341228,0.928132953
3669,0.934171632,0.928184522
3670,0.934220428,0.928236053
3671,0.934269188,0.928287548
3672,0.934317912,0.928339006
3673,0.9343666,0.928390426
3674,0.934415251,0.92844181
3675,0.934463867,0.928493157
3676,0.934512446,0.928544467
3677,0.93456099,0.92859574
3678,0.934609498,0.928646977
3679,0.934657969,0.928698177
3680,0.934706405,0.92874934
3681,0.934754805,0.928800466
3682,0.934803168,0.928851556
3683,0.934851496,0.928902609
3684,0.934899789,0.928953625
3685,0.934948045,0.929004605
3686,0.934996266,0.929055548
3687,0.935044451,0.929106454
3688,0.9350926,0.929157324
3689,0.935140713,0.929208158
3690,0.935188791,0.929258955
3691,0.935236833,0.929309715
3692,0.93528484,0.92936044
3693,0.935332811,0.929411127
3694,0.935380746,0.929461779
3695,0.935428646,0.929512394
3696,0.935476511,0.929562973
3697,0.935524339,0.929613515
3698,0.935572133,0.929664021
3699,0.935619891,0.929714491
3700,0.935667614,0.929764925
3701,0.935715301,0.929815323
3702,0.935762953,0.929865684
3703,0.935810569,0.929916009
3704,0.935858151,0.929966298
3705,0.935905697,0.930016551
3706,0.935953207,0.930066768
3707,0.936000683,0.930116949
3708,0.936048123,0.930167094
3709,0.936095529,0.930217203
3710,0.936142899,0.930267276
3711,0.936190233,0.930317313
3712,0.936237533,0.930367315
3713,0.936284798,0.93041728
3714,0.936332028,0.930467209
3715,0.936379223,0.930517103
3716,0.936426382,0.930566961
3717,0.936473507,0.930616783
3718,0.936520597,0.930666569
3719,0.936567652,0.93071632
3720,0.936614672,0.930766035
3721,0.936661657,0.930815714
3722,0.936708608,0.930865357
3723,0.936755523,0.930914965
3724,0.936802404,0.930964538
3725,0.93684925,0.931014074
3726,0.936896062,0.931063575
3727,0.936942838,0.931113041
3728,0.93698958,0.931162471
3729,0.937036288,0.931211866
3730,0.93708296,0.931261225
3731,0.937129598,0.931310549
3732,0.937176202,0.931359838
3733,0.937222771,0.931409091
3734,0.937269305,0.931458309
3735,0.937315805,0.931507491
3736,0.937362271,0.931556638
3737,0.937408702,0.93160575
3738,0.937455099,0.931654827
3739,0.937501461,0.931703868
3740,0.937547789,0.931752874
3741,0.937594082,0.931801846
3742,0.937640341,0.931850781
3743,0.937686566,0.931899682
3744,0.937732757,0.931948548
3745,0.937778914,0.931997379
3746,0.937825036,0.932046174
3747,0.937871124,0.932094935
3748,0.937917178,0.932143661
3749,0.937963197,0.932192351
3750,0.938009183,0.932241007
