balls_faced_host,run_factor_smooth,wkt_factor_smooth
796,1.010750516,0.963838048
797,1.010750516,0.963838048
798,1.010750516,0.963838048
799,1.010750516,0.963838048
800,1.010750516,0.963838048
801,1.010750516,0.963838048
802,1.010750516,0.963838048
803,1.010750516,0.963838048
804,1.010750516,0.963838048
805,1.010750516,0.963838048
806,1.010750516,0.963838048
807,1.010750516,0.963838048
808,1.010750516,0.963838048
809,1.010750516,0.963838048
810,1.010750516,0.963838048
811,1.010750516,0.963838048
812,1.010750516,0.963838048
813,1.010750516,0.963838048
814,1.010750516,0.963838048
815,1.010750516,0.963838048
816,1.010750516,0.963838048
817,1.010750516,0.963838048
818,1.010750516,0.963838048
819,1.010750516,0.963838048
820,1.010750516,0.963838048
821,1.010750516,0.963838048
822,1.010750516,0.963838048
823,1.010750516,0.963838048
824,1.010750516,0.963838048
825,1.010750516,0.963838048
826,1.010750516,0.963838048
827,1.010750516,0.963838048
828,1.010750516,0.963838048
829,1.010750516,0.963838048
830,1.010750516,0.963838048
831,1.010750516,0.963838048
832,1.010750516,0.963838048
833,1.010750516,0.963838048
834,1.010750516,0.963838048
835,1.010750516,0.963838048
836,1.010750516,0.963838048
837,1.010750516,0.963838048
838,1.010750516,0.963838048
839,1.010750516,0.963838048
840,1.010750516,0.963838048
841,1.010750516,0.963838048
842,1.010750516,0.963838048
843,1.010750516,0.963838048
844,1.010750516,0.963838048
845,1.010750516,0.963838048
846,1.010750516,0.963838048
847,1.010750516,0.963838048
848,1.010750516,0.963838048
849,1.010750516,0.963838048
850,1.010750516,0.963838048
851,1.010750516,0.963838048
852,1.010750516,0.963838048
853,1.010750516,0.963838048
854,1.010750516,0.963838048
855,1.010750516,0.963838048
856,1.010750516,0.963838048
857,1.010750516,0.963838048
858,1.010750516,0.963838048
859,1.010750516,0.963838048
860,1.010750516,0.963838048
861,1.010750516,0.963838048
862,1.010750516,0.963838048
863,1.010750516,0.963838048
864,1.010750516,0.963838048
865,1.010750516,0.963838048
866,1.010750516,0.963838048
867,1.010750516,0.963838048
868,1.010750516,0.963838048
869,1.010750516,0.963838048
870,1.010750516,0.963838048
871,1.010750516,0.963838048
872,1.010750516,0.963838048
873,1.010750516,0.963838048
874,1.010750516,0.963838048
875,1.010750516,0.963838048
876,1.010750516,0.963838048
877,1.010750516,0.963838048
878,1.010750516,0.963838048
879,1.010750516,0.963838048
880,1.010750516,0.963838048
881,1.010750516,0.963838048
882,1.010750516,0.963838048
883,1.010750516,0.963838048
884,1.010750516,0.963838048
885,1.010750516,0.963838048
886,1.010750516,0.963838048
887,1.010750516,0.963838048
888,1.010750516,0.963838048
889,1.010750516,0.963838048
890,1.010750516,0.963838048
891,1.010750516,0.963838048
892,1.010750516,0.963838048
893,1.010750516,0.963838048
894,1.010750516,0.963838048
