inningBallsRemainingOriginal,inningBallsRemaining,totalInningWickets,mean_hundred,count_hundred,mean_t20,count_t20,ratio_hundred_vs_t20,ratio_pred_constrained,mean_hundred_adj
9.0,10.0,5,14.625427773857911,40,15.03310089559599,224,0.9728816346960388,0.8620574931029057,16.965721997514198
9.0,10.0,6,11.564951505212015,18,14.618807453616931,159,0.7911008843851116,0.8620574931029057,13.41552227982488
9.0,10.0,7,9.287232647770479,13,13.716431668907747,148,0.6770880992920829,0.8620574931029057,10.773333242939334
9.0,10.0,8,10.288445205043569,8,11.446415241229724,82,0.898835573253085,0.8620574931029057,11.934755265581126
9.0,10.0,9,5.190584429558679,6,8.823198618011425,37,0.5882882902536919,0.8620574931029057,6.021158067863424
10.0,11.0,2,17.258186766083256,11,17.550486070753216,57,0.9833452302408274,0.8630710014961992,19.996253768420996
10.0,11.0,3,15.249731052929219,18,18.831904677417896,125,0.8097816611835229,0.8630710014961992,17.669150077447455
10.0,11.0,4,14.38344927764005,40,17.58478454524614,177,0.8179485646031678,0.8630710014961992,16.665429904034834
10.0,11.0,5,17.010676519521013,38,16.484334255354845,223,1.0319298466054332,0.8630710014961992,19.709475222816792
10.0,11.0,6,12.373945867177117,22,15.638925376463378,161,0.7912273745995321,0.8630710014961992,14.337112295194649
10.0,11.0,7,11.528920029774891,10,15.011080717282617,141,0.7680273157482506,0.8630710014961992,13.358020382782682
10.0,11.0,8,12.22651665846932,8,10.9050853451328,69,1.1211756966144522,0.8630710014961992,14.166292966944463
10.0,11.0,9,4.726520277346929,7,10.147690853096528,31,0.4657729867583274,0.8630710014961992,5.476397966277569
11.0,12.0,2,18.438947033234626,10,18.705847308704374,63,0.9857317195492368,0.8640845098894928,21.339286634813963
11.0,12.0,3,16.3361639728801,22,19.998897269693366,137,0.8168532370850353,0.8640845098894928,18.905747974777746
11.0,12.0,4,16.58202545371536,38,18.930803962030453,187,0.8759282219061567,0.8640845098894928,19.19028204294048
11.0,12.0,5,17.928906173262597,30,17.89726238114661,216,1.0017680800248714,0.8640845098894928,20.749019300849998
11.0,12.0,6,12.498801104087168,20,16.71891893551388,161,0.7475842877339126,0.8640845098894928,14.464790146146273
11.0,12.0,7,12.624951712484606,9,16.32477885539385,139,0.7733612702700234,0.8640845098894928,14.61078351479672
11.0,12.0,8,10.807390340331494,12,11.67399038056978,64,0.9257665963404718,0.8640845098894928,12.507330263001293
11.0,12.0,9,6.785063615034081,6,11.021336688700886,32,0.6156298284572099,0.8640845098894928,7.852314834230529
12.0,13.0,2,19.561757258068127,12,20.82907747399547,62,0.9391562003881566,0.8650980182827864,22.61218595425531
12.0,13.0,3,17.468736774982208,24,21.540204694196543,137,0.8109828584724968,0.8650980182827864,20.192783252073017
12.0,13.0,4,17.38627000105279,39,20.435716326221243,191,0.8507785938848798,0.8650980182827864,20.097456743184335
12.0,13.0,5,19.8913731096773,27,19.021103189676165,207,1.0457528625612778,0.8650980182827864,22.99320156710281
12.0,13.0,6,12.754008299577936,20,18.321868464111738,170,0.6961084959517126,0.8650980182827864,14.742847665857049
12.0,13.0,7,14.100347997997819,8,17.174085614062957,134,0.8210246714067726,0.8650980182827864,16.29913339298466
12.0,13.0,8,11.78803200591787,11,12.1933912135728,59,0.9667558269430645,0.8650980182827864,13.626238595849557
13.0,14.0,2,20.769398266261792,13,22.55839971972876,65,0.9206946647060973,0.86611152667608,23.980050636168716
13.0,14.0,3,19.524016684038884,30,22.88128824576868,157,0.8532743643771614,0.86611152667608,22.54215084628557
13.0,14.0,4,18.975268576155912,38,21.964518105058435,188,0.8639055264219934,0.86611152667608,21.908574117444505
13.0,14.0,5,20.34323340873701,30,20.504908762686238,194,0.9921152853777415,0.86611152667608,23.488006777613577
13.0,14.0,6,14.269133114544921,17,19.193209692666215,179,0.7434469451973529,0.86611152667608,16.474937320493
13.0,14.0,7,15.185088722286528,7,18.31886784409921,123,0.8289316158355212,0.86611152667608,17.532486584681664
13.0,14.0,8,11.58285461844707,11,13.87208393106109,54,0.8349758173328098,0.86611152667608,13.373398530901877
14.0,16.0,1,23.003201575173843,6,26.6370600932033,27,0.863578844462769,0.8681385434626673,26.49715503175681
14.0,16.0,2,22.41049449704291,11,25.733982862654894,76,0.8708521575012385,0.8681385434626673,25.81442174846443
14.0,16.0,3,20.42599201767399,32,25.136306076908355,166,0.8126091381596627,0.8681385434626673,23.528493431708085
14.0,16.0,4,20.804641652123976,37,24.842482829971495,195,0.8374622534517355,0.8681385434626673,23.964656112539764
14.0,16.0,5,20.653503650690478,30,23.183362698853273,194,0.8908760958871627,0.8681385434626673,23.79056177866689
14.0,16.0,6,16.774540465564993,16,21.391054877152285,195,0.7841848175277145,0.8681385434626673,19.322423352680403
14.0,16.0,7,13.501198732974194,10,20.03411651967638,104,0.6739103628410106,0.8681385434626673,15.551894147129051
14.0,16.0,8,13.36522291655427,8,15.604431927809312,46,0.8565017283798423,0.8681385434626673,15.395264980685674
