ord,totalInningWickets,inningBallsRemaining,predictedBallsFacedToCome,R19,inningNumber,fxbRunsAdjustRatio,fxbWktsAdjustRatio
2.0,3.0,1.0,2.1788200356037266,7,2,1.0,1.0
2.0,3.0,1.0,2.1788200356037266,8,1,1.0,1.0
2.0,3.0,1.0,2.1788200356037266,8,2,1.0,1.0
2.0,3.0,1.0,2.1788200356037266,9,1,1.0,1.0
2.0,3.0,1.0,2.1788200356037266,9,2,1.0,1.0
2.0,3.0,1.0,2.1788200356037266,10,1,1.0,1.0
2.0,3.0,1.0,2.1788200356037266,10,2,1.0,1.0
2.0,4.0,1.0,2.719433589392498,0,1,1.0,1.0
2.0,4.0,1.0,2.719433589392498,0,2,1.0,1.0
2.0,4.0,1.0,2.719433589392498,1,1,1.0,1.0
2.0,4.0,1.0,2.719433589392498,1,2,1.0,1.0
2.0,4.0,1.0,2.719433589392498,2,1,1.0,1.0
2.0,4.0,1.0,2.719433589392498,2,2,1.0,1.0
2.0,4.0,1.0,2.719433589392498,3,1,1.0,1.0
2.0,4.0,1.0,2.719433589392498,3,2,1.0,1.0
2.0,4.0,1.0,2.719433589392498,4,1,1.0,1.0
2.0,4.0,1.0,2.719433589392498,4,2,1.0,1.0
2.0,4.0,1.0,2.719433589392498,5,1,1.0,1.0
2.0,4.0,1.0,2.719433589392498,5,2,1.0,1.0
2.0,4.0,1.0,2.719433589392498,6,1,1.0,1.0
2.0,4.0,1.0,2.719433589392498,6,2,1.0,1.0
2.0,4.0,1.0,2.719433589392498,7,1,1.0,1.0
2.0,4.0,1.0,2.719433589392498,7,2,1.0,1.0
2.0,4.0,1.0,2.719433589392498,8,1,1.0,1.0
2.0,4.0,1.0,2.719433589392498,8,2,1.0,1.0
2.0,4.0,1.0,2.719433589392498,9,1,1.0,1.0
2.0,4.0,1.0,2.719433589392498,9,2,1.0,1.0
2.0,4.0,1.0,2.719433589392498,10,1,1.0,1.0
2.0,4.0,1.0,2.719433589392498,10,2,1.0,1.0
2.0,5.0,1.0,1.0,0,1,1.0,1.0
2.0,5.0,1.0,1.0,0,2,1.0,1.0
2.0,5.0,1.0,1.0,1,1,1.0,1.0
2.0,5.0,1.0,1.0,1,2,1.0,1.0
2.0,5.0,1.0,1.0,2,1,1.0,1.0
2.0,5.0,1.0,1.0,2,2,1.0,1.0
2.0,5.0,1.0,1.0,3,1,1.0,1.0
2.0,5.0,1.0,1.0,3,2,1.0,1.0
2.0,5.0,1.0,1.0,4,1,1.0,1.0
2.0,5.0,1.0,1.0,4,2,1.0,1.0
2.0,5.0,1.0,1.0,5,1,1.0,1.0
2.0,5.0,1.0,1.0,5,2,1.0,1.0
2.0,5.0,1.0,1.0,6,1,1.0,1.0
2.0,5.0,1.0,1.0,6,2,1.0,1.0
2.0,5.0,1.0,1.0,7,1,1.0,1.0
2.0,5.0,1.0,1.0,7,2,1.0,1.0
2.0,5.0,1.0,1.0,8,1,1.0,1.0
2.0,5.0,1.0,1.0,8,2,1.0,1.0
2.0,5.0,1.0,1.0,9,1,1.0,1.0
2.0,5.0,1.0,1.0,9,2,1.0,1.0
2.0,5.0,1.0,1.0,10,1,1.0,1.0
2.0,5.0,1.0,1.0,10,2,1.0,1.0
2.0,6.0,1.0,1.0,0,1,1.0,1.0
2.0,6.0,1.0,1.0,0,2,1.0,1.0
2.0,6.0,1.0,1.0,1,1,1.0,1.0
2.0,6.0,1.0,1.0,1,2,1.0,1.0
2.0,6.0,1.0,1.0,2,1,1.0,1.0
2.0,6.0,1.0,1.0,2,2,1.0,1.0
2.0,6.0,1.0,1.0,3,1,1.0,1.0
2.0,6.0,1.0,1.0,3,2,1.0,1.0
2.0,6.0,1.0,1.0,4,1,1.0,1.0
2.0,6.0,1.0,1.0,4,2,1.0,1.0
2.0,6.0,1.0,1.0,5,1,1.0,1.0
2.0,6.0,1.0,1.0,5,2,1.0,1.0
2.0,6.0,1.0,1.0,6,1,1.0,1.0
2.0,6.0,1.0,1.0,6,2,1.0,1.0
2.0,6.0,1.0,1.0,7,1,1.0,1.0
2.0,6.0,1.0,1.0,7,2,1.0,1.0
2.0,6.0,1.0,1.0,8,1,1.0,1.0
2.0,6.0,1.0,1.0,8,2,1.0,1.0
2.0,6.0,1.0,1.0,9,1,1.0,1.0
2.0,6.0,1.0,1.0,9,2,1.0,1.0
2.0,6.0,1.0,1.0,10,1,1.0,1.0
2.0,6.0,1.0,1.0,10,2,1.0,1.0
2.0,7.0,1.0,1.0,0,1,1.0,1.0
2.0,7.0,1.0,1.0,0,2,1.0,1.0
2.0,7.0,1.0,1.0,1,1,1.0,1.0
2.0,7.0,1.0,1.0,1,2,1.0,1.0
2.0,7.0,1.0,1.0,2,1,1.0,1.0
2.0,7.0,1.0,1.0,2,2,1.0,1.0
2.0,7.0,1.0,1.0,3,1,1.0,1.0
2.0,7.0,1.0,1.0,3,2,1.0,1.0
2.0,7.0,1.0,1.0,4,1,1.0,1.0
2.0,7.0,1.0,1.0,4,2,1.0,1.0
2.0,7.0,1.0,1.0,5,1,1.0,1.0
2.0,7.0,1.0,1.0,5,2,1.0,1.0
2.0,7.0,1.0,1.0,6,1,1.0,1.0
2.0,7.0,1.0,1.0,6,2,1.0,1.0
2.0,7.0,1.0,1.0,7,1,1.0,1.0
2.0,7.0,1.0,1.0,7,2,1.0,1.0
2.0,7.0,1.0,1.0,8,1,1.0,1.0
2.0,7.0,1.0,1.0,8,2,1.0,1.0
2.0,7.0,1.0,1.0,9,1,1.0,1.0
2.0,7.0,1.0,1.0,9,2,1.0,1.0
2.0,7.0,1.0,1.0,10,1,1.0,1.0
2.0,7.0,1.0,1.0,10,2,1.0,1.0
2.0,8.0,1.0,1.0,0,1,1.0,1.0
2.0,8.0,1.0,1.0,0,2,1.0,1.0
2.0,8.0,1.0,1.0,1,1,1.0,1.0
2.0,8.0,1.0,1.0,1,2,1.0,1.0
2.0,8.0,1.0,1.0,2,1,1.0,1.0
2.0,8.0,1.0,1.0,2,2,1.0,1.0
2.0,8.0,1.0,1.0,3,1,1.0,1.0
2.0,8.0,1.0,1.0,3,2,1.0,1.0
2.0,8.0,1.0,1.0,4,1,1.0,1.0
2.0,8.0,1.0,1.0,4,2,1.0,1.0
2.0,8.0,1.0,1.0,5,1,1.0,1.0
2.0,8.0,1.0,1.0,5,2,1.0,1.0
2.0,8.0,1.0,1.0,6,1,1.0,1.0
2.0,8.0,1.0,1.0,6,2,1.0,1.0
2.0,8.0,1.0,1.0,7,1,1.0,1.0
2.0,8.0,1.0,1.0,7,2,1.0,1.0
2.0,8.0,1.0,1.0,8,1,1.0,1.0
2.0,8.0,1.0,1.0,8,2,1.0,1.0
2.0,8.0,1.0,1.0,9,1,1.0,1.0
2.0,8.0,1.0,1.0,9,2,1.0,1.0
2.0,8.0,1.0,1.0,10,1,1.0,1.0
2.0,8.0,1.0,1.0,10,2,1.0,1.0
3.0,1.0,1.0,2.695690438325932,0,1,0.6899968815159356,1.0
3.0,1.0,1.0,2.695690438325932,0,2,0.6899968815159356,1.0
3.0,1.0,1.0,2.695690438325932,1,1,0.7557734091173569,1.0014888725049818
3.0,1.0,1.0,2.695690438325932,1,2,0.7557734091173569,1.0154168293191943
3.0,1.0,1.0,2.695690438325932,2,1,0.8215499367187782,1.0029777450099635
3.0,1.0,1.0,2.695690438325932,2,2,0.8215499367187782,1.0308336586383886
3.0,1.0,1.0,2.695690438325932,3,1,0.8873264643201995,1.0044666175149448
3.0,1.0,1.0,2.695690438325932,3,2,0.8873264643201995,1.0462504879575834
3.0,1.0,1.0,2.695690438325932,4,1,0.9531029919216207,1.0059554900199266
3.0,1.0,1.0,2.695690438325932,4,2,0.9531029919216207,1.0616673172767777
3.0,1.0,1.0,2.695690438325932,5,1,0.978135843540793,1.0074443625249083
3.0,1.0,1.0,2.695690438325932,5,2,0.978135843540793,1.0770841465959724
